book,chapter,verse,tafsir
أخبار أيام ثاني,1,1,"ملخص لسفر أخبار الأيام الثانى
ص1-ص9:-
نجد هنا مملكة سليمان \'a1 المملكة المشرقة التى يسودها السلام رمز لمملكة المسيح ملك السلام ورأس المملكة سليمان المملوءة حكمة رمز للمسيح أقنوم الحكمة وسليمان أغنى الملوك والمسيح غنى ويفنى كنيسته وسليمان هو مؤسس وبانى الهيكل رمز للمسيح الذى أسس هيكل جسده أى الكنيسة. ومرة أخرى لا نجد أى إشارة لخطايا سليمان فهو رمز لمملكة المسيح المشرقة المنيرة ونجد صلاة سليمان محورها أن الله يستجيب لكل من ينظر للهيكل وهذا يرمز لأن كل صلاة لنا تستجاب بإسم المسيح لذلك ننهى صلاتنا الربانية """"أبانا الذى فى السموات.... بالمسيح يسوع المسيح """".

ص10-35:-
نرى هنا الصورة الواقعية للمملكة بما فيها من قوة وبما فيها من سقطات وضعفات فحين تطلب المملكة الله تصبح قوية وحين تترك الله تضعف وتسقط تحت سيطرة أعدائها فيسودون عليها لتتأدب.

ص36:-
نجد هنا المملكة وقد إنحرفت جداً للوثنية فكانت ضربة التأديب الكبرى الا وهى للسبى كعبيد لبابل وهناك تأدبوا وتركوا الوثنية تماماً وهذا يشبه تماماً ما فعله بولس الرسول مع خاطىء كورنثوس  1 كو 5:5. """"أن يسلم مثل هذا للشيطان لهلاك الجسد لكى تخلص الروح فى يوم الرب يسوع"""" أى سلمه بولس لأمراض وضربات أليمة بواسطة إبليس ( تجارب فى الجسد ) وهذا يشبه الذهاب للسبى فحينما يتألم الجسد تكون هناك فرصة للروح لتتنبه وتقدم توبة فتخلص وحينما تاب خاطىء كورنثوس قبله بولس الرسول ورده من سبى إبليس  2 كو 2:5-8 وهذا ما حدث مع الشعب فالتأديب أتى بثماره وتركوا عبادة الأوثان تماماً فسمح لهم الله بالعودة إلى أورشليم ( الآيات 23\'a122) وهكذا كل خاطىء فى مملكة المسيح يسمح له المسيح ببعض التأديب حتى يتألم الجسد فيتوب الإنسان وحينما يتوب يقبله المسيح ثانية""""إرجعوا إلى أرجع إليكم  زك 1:3. وينتهى سفر أخبار الأيام الثانى بالعودة من السبى بعد أن تأدبوا"
أخبار أيام ثاني,1,2,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
أخبار أيام ثاني,1,3,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
أخبار أيام ثاني,1,4,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
أخبار أيام ثاني,1,5,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
أخبار أيام ثاني,1,6,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
أخبار أيام ثاني,1,7,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
أخبار أيام ثاني,1,8,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
أخبار أيام ثاني,1,9,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
أخبار أيام ثاني,1,10,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
